1.67,2,1
2.69,0,1
4.48,1,1
7.18,2,1
9.78,1,1
12,0,1
12.98,2,1
14.88,1,1
21.89,0,1
22.74,1,1
26.82,2,1
27.95,0,1
40.22,2,2
40.32,1,2
40.77,0,2
47.48,2,2
48.61,0,2
49.33,1,2
53.1,2,2
53.74,0,2
56.87,1,2
58.87,0,2
60.3,2,2
64.93,1,2
65.67,0,2
67.5,2,2
76.64,0,3
78.34,1,3
78.83,2,3
83.47,1,3
83.55,0,3
87.41,2,3
88.48,1,3
88.99,0,3
92.88,2,3
94.71,0,3
94.79,1,3
98.95,2,3
99.94,0,3
101.3,1,3
105.01,0,3
105.06,2,3
114.2,0,4
114.39,1,4
115.13,2,4
119.89,0,4
120.46,2,4
121.44,1,4
125.23,0,4
126.74,2,4
126.8,1,4
130.79,0,4
131.97,1,4
132.36,2,4
136.2,0,4
138.28,2,4
140.7,1,4
142.14,0,4
152.4,1,5
152.57,2,5
153.15,0,5
157.42,1,5
158.96,2,5
159.82,0,5
163.44,1,5
165.82,0,5
167.2,2,5
170.34,1,5
171.65,0,5
172.44,2,5
175.97,1,5
179.05,2,5
179.59,0,5
190.41,2,6
191.71,1,6
192.72,0,6
195.5,2,6
198.73,0,6
200.76,1,6
200.79,2,6
203.96,0,6
206.39,2,6
208.85,1,6
210.48,0,6
212.6,2,6
214.25,1,6
216.11,0,6
218.2,2,6
228.09,1,7
228.48,2,7
228.79,0,7
233.59,1,7
234.08,2,7
235.31,0,7
239.26,1,7
240.81,2,7
241.02,0,7
244.28,1,7
246.22,2,7
246.71,0,7
250.18,1,7
251.36,2,7
251.79,0,7
255.51,1,7
257.9,2,7
266.12,2,8
266.76,1,8
267.35,0,8
271.5,2,8
271.95,1,8
272.7,0,8
276.71,2,8
277.05,1,8
279.83,0,8
282.22,1,8
283.67,2,8
284.9,0,8
287.55,1,8
290.17,0,8
290.17,2,8
292.96,1,8
295.95,0,8
