0.011622,NaN,941.57,377.73,5.8416,NaN
0.017126,NaN,940.79,376.82,5.8501,NaN
0.027546,NaN,945.52,378.42,5.8257,NaN
0.032397,NaN,943.2,378.35,5.8254,NaN
0.043686,NaN,948.98,376.41,5.8099,NaN
0.060493,NaN,954.96,376.8,5.7672,NaN
0.06519,NaN,949.29,377.88,5.782,NaN
0.075597,NaN,944.8,377.77,5.8169,NaN
0.09161,NaN,946.56,379.86,5.8169,NaN
0.096256,NaN,949.89,380.19,5.8276,NaN
0.10868,NaN,942.6,380.26,5.8518,NaN
0.11341,NaN,946.89,379.74,5.8568,NaN
0.12396,NaN,944.4,378.67,5.8513,NaN
0.14135,NaN,947.26,379.89,5.8273,NaN
0.1483,NaN,938.69,380.02,5.8698,NaN
0.15584,NaN,968.37,394.33,5.7515,NaN
0.17248,NaN,968.6,406.72,5.7807,NaN
0.17728,NaN,959.93,412.02,5.8791,NaN
0.18757,NaN,959.32,411.9,5.8573,NaN
0.19217,NaN,957.78,410.47,5.8532,NaN
0.20385,NaN,957.01,407.41,5.862,NaN
0.21984,NaN,955.28,405.62,5.8733,NaN
0.22456,NaN,958.62,404.38,5.8581,NaN
0.23749,NaN,958.85,402.36,5.8709,NaN
0.2535,NaN,958.65,402.65,5.8739,NaN
0.26025,NaN,959.01,401.77,5.8793,NaN
0.27078,NaN,958.59,401.54,5.8711,NaN
0.28596,NaN,958.03,400.92,5.8751,NaN
0.29367,NaN,956.85,398.92,5.8948,NaN
0.30049,NaN,956.38,400.81,5.8748,NaN
0.30807,NaN,966.68,398.95,5.8244,NaN
0.32096,NaN,965.69,398.75,5.8239,NaN
0.33294,NaN,958.11,398.07,5.8493,NaN
0.34065,NaN,959.97,398.31,5.8372,NaN
0.34858,NaN,958.22,400.4,5.8549,NaN
0.36476,NaN,964.64,401.29,5.8225,NaN
0.37345,NaN,966.19,400.98,5.8082,NaN
0.38068,NaN,962.78,400.1,5.822,NaN
0.38749,NaN,960.4,401.04,5.8474,NaN
0.39662,NaN,960.58,400.12,5.852,NaN
0.41376,NaN,960.19,400.55,5.8457,NaN
0.42058,NaN,958.32,400.62,5.8518,NaN
0.42888,NaN,957.72,396.87,5.8756,NaN
0.44481,NaN,963.31,396.55,5.8239,NaN
0.45138,NaN,961.68,395.93,5.8319,NaN
0.4624,NaN,959,394.62,5.851,NaN
0.46886,NaN,955.68,393.69,5.8583,NaN
0.47752,NaN,960.95,394.14,5.8495,NaN
0.49252,NaN,963.04,394.91,5.8342,NaN
0.50287,NaN,959.89,393.91,5.8564,NaN
0.5092,NaN,967.72,394.57,5.8436,NaN
0.52554,NaN,970.91,395.27,5.8305,NaN
0.53116,NaN,967.15,394.86,5.8466,NaN
0.54042,NaN,968.55,395.34,5.8525,NaN
0.54634,NaN,968.42,396.01,5.8561,NaN
0.55855,NaN,957.05,395.7,5.9032,NaN
0.5743,NaN,959.84,396.8,5.8867,NaN
0.58085,NaN,962.39,397.58,5.877,NaN
0.59099,NaN,965.01,396.99,5.8694,NaN
0.60605,NaN,967.87,394.9,5.8601,NaN
0.61366,NaN,966.66,394.94,5.8609,NaN
0.62227,NaN,953.89,395.92,5.9484,NaN
0.63683,NaN,952.23,398.39,5.9566,NaN
0.64343,NaN,947.5,398.68,5.9896,NaN
0.6551,NaN,957.53,399.74,5.9493,NaN
0.66207,NaN,957.93,398.86,5.9718,NaN
0.67718,NaN,968.03,401.24,5.9448,NaN
0.68772,NaN,964.97,401.14,5.9837,NaN
0.69435,NaN,955.85,399.76,6.0419,NaN
0.70161,NaN,957.16,398.18,6.0389,NaN
0.71703,NaN,953.8,398.96,6.0607,NaN
0.72462,NaN,957.75,401.34,6.0632,NaN
0.7321,NaN,953.63,399.61,6.1045,NaN
0.73871,NaN,957.97,401.75,6.1054,NaN
0.74822,NaN,954.55,400.13,6.1333,NaN
0.76463,NaN,957.23,400.84,6.1412,NaN
0.77135,NaN,916.22,388.79,6.3523,NaN
0.78083,NaN,877.56,375.72,6.3917,NaN
0.79629,NaN,869.83,373.89,6.4593,NaN
0.80257,NaN,863.58,371.41,6.4614,NaN
0.8139,NaN,863.75,371.13,6.4637,NaN
0.82112,NaN,858.37,368.22,6.4998,NaN
0.82967,NaN,863.25,366.12,6.484,NaN
0.84502,NaN,864.64,364.88,6.4885,NaN
0.85303,NaN,866.97,365.52,6.5036,NaN
0.86095,NaN,861.4,363.95,6.545,NaN
